wallet,votes,side
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,93.16K,For
0xc64c27791b2355b3080721197b89602ac6c92b7b,59.71K,For
0x54a37d93e57c5da659f508069cf65a381b61e189,57.59K,Against
0xb933aee47c438f22de0747d57fc239fe37878dd1,53.96K,Against
0x683a4f9915d6216f73d6df50151725036bd26c02,50.07K,Against
0x7ae109a63ff4dc852e063a673b40bed85d22e585,50.01K,Against
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,50K,Against
0xb49f8b8613be240213c1827e2e576044ffec7948,50K,Against
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,50K,Against
0xb7771f70633c7e54e61dd38d01c26da0e86be1a5,50K,Against
0x7b3c54e17d618cc94dadfe7671c1e2f50c4ecc33,50K,Against
0x4ac0dbce527bcb60787cef10053348b146c6b5e3,48.72K,For
0xc3aae58ab81663872dd36d73613eb295b167f546,47.5K,Against
0x2210dc066aacb03c9676c4f1b36084af14ccd02e,44.67K,Against
0x4f3a2bfd91761ac0d82261b82bb5c8ace4644a51,42.7K,For
0x9d0361f5da754994c1df011e86469416d6f1ec31,40.01K,For
0x93cb8af7d9589f0ae34501391e8ea57850581a08,39.19K,For
0x2b384212edc04ae8bb41738d05ba20e33277bf33,32.5K,Against
0x3fb19771947072629c8eee7995a2ef23b72d4c8a,25.55K,Against
0x337f3fb97657b542ec3f182a488b7f7feba8bc0e,25.44K,For
0x48804e458d7a779c5fd2ce757876dabdc9ce422c,25K,For
0xc153a898808654584a2276bfe9e8ba62aded4137,25K,For
0xd9e8d24799fc9317513c0c0512f19cb60db6b040,25K,For
0xe89f1a18a17f0497ac2bd8627d48339d4d99bb56,25K,For
0x13691cff1092d704ec20e16036491c8805f6d22c,25K,For
0xb3180769211598e172789e185067630da2b7ce1b,24.97K,For
0x72c9812400528e04054eccd839e14c126fc13883,24.94K,For
0x90bd4645882e865a1d94ab643017bd5ec2ae73be,24.93K,For
0x3318552dec1881bfd43adfac65adee81cc6298bb,24.93K,For
0x55c03907c62cf2884b795f216e7cd1dcb5e560bf,24.92K,For
0xca4edba2cf8d23bc2ce8d62dde8832a3fcee7f02,24.87K,For
0x0b588bd4b60fb38daa5dc089ad3486b34f7700f8,24.67K,For
0x17d6dd6b29c639efca9d3ec2fe3848909c1b40d9,24.41K,For
0xe3c9ece23316b6b06142fa0ca915f02c323c6b21,21.29K,Against
0x2f93524b327100fba3dc685204f94c7a86c28a8b,7.36K,For
0x941dcea21101a385b979286cc6d6a9bf435eb1c2,2.27K,For
0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,481.76,Against
0x72c58877ef744b86f6ef416a3be26ec19d587708,11.97,Against
0xe4594a66d9507ffc0d4335cc240bd61c1173e666,5.24,Abstain
0x8bb9d5908cdce82915a847fbb34fd93e1e50ccc2,1.12,Against
